"volume","Open","low","high","close","X.RUT_ADJUSTED_CLOSE","Date"
2002700.0,199.29,198.7,199.86,199.86,199.86,"1992-01-13"
2645400.0,199.87,199.87,202.35,202.35,202.35,"1992-01-14"
3124000.0,202.34,202.34,204.31,204.3,204.3,"1992-01-15"
3337500.0,204.31,203.21,204.82,204.39,204.39,"1992-01-16"
2845600.0,204.41,204.3,205.13,205.06,205.06,"1992-01-17"
1808700.0,205.04,204.2,205.05,204.3,204.3,"1992-01-20"
2186500.0,204.29,200.72,204.31,200.94,200.94,"1992-01-21"
2250300.0,200.95,200.94,203.73,203.71,203.71,"1992-01-22"
2296800.0,203.73,203.73,204.94,204.66,204.66,"1992-01-23"
2136000.0,204.65,204.59,205.49,205.42,205.42,"1992-01-24"
1904300.0,205.43,204.96,205.94,205.06,205.06,"1992-01-27"
2170700.0,205.05,204.71,205.39,204.98,204.98,"1992-01-28"
2489000.0,204.97,203.56,206.01,203.87,203.87,"1992-01-29"
1946700.0,203.87,203.53,204.94,204.87,204.87,"1992-01-30"
1970600.0,204.88,204.53,205.39,205.16,205.16,"1992-01-31"
1821500.0,205.16,205.16,205.92,205.87,205.87,"1992-02-03"
2315300.0,205.87,205.87,207.85,207.82,207.82,"1992-02-04"
2619600.0,207.82,207.82,209.54,209.34,209.34,"1992-02-05"
2382100.0,209.35,209.35,210.71,210.26,210.26,"1992-02-06"
2309500.0,210.24,209.31,211.22,210.08,210.08,"1992-02-07"
1843900.0,210.08,209.83,210.55,210.53,210.53,"1992-02-10"
2001100.0,210.55,210.33,210.84,210.71,210.71,"1992-02-11"
2302300.0,210.71,210.71,212.62,212.61,212.61,"1992-02-12"
2293600.0,212.62,211.31,213.0,211.54,211.54,"1992-02-13"
2148400.0,211.53,211.0,211.78,211.56,211.56,"1992-02-14"
2342700.0,211.55,210.01,212.12,210.08,210.08,"1992-02-18"
2329000.0,210.07,207.99,210.07,208.36,208.36,"1992-02-19"
2705500.0,208.37,208.37,211.6,210.89,210.89,"1992-02-20"
2587000.0,210.89,209.74,211.07,210.4,210.4,"1992-02-21"
1774700.0,210.4,208.89,210.4,208.89,208.89,"1992-02-24"
2084000.0,208.87,206.86,208.98,207.58,207.58,"1992-02-25"
2406900.0,207.59,207.59,210.21,210.2,210.2,"1992-02-26"
2150500.0,210.22,210.22,211.19,211.01,211.01,"1992-02-27"
2021300.0,211.02,210.55,211.71,211.15,211.15,"1992-02-28"
1803800.0,211.17,211.16,211.8,211.79,211.79,"1992-03-02"
2008600.0,211.77,211.66,212.15,212.09,212.09,"1992-03-03"
2067700.0,212.09,211.18,212.26,211.27,211.27,"1992-03-04"
2057300.0,211.27,208.49,211.27,208.69,208.69,"1992-03-05"
1850400.0,208.69,206.68,208.71,207.24,207.24,"1992-03-06"
1606200.0,207.24,206.64,207.45,206.86,206.86,"1992-03-09"
1945300.0,206.87,206.85,208.32,208.2,208.2,"1992-03-10"
1853200.0,208.18,206.47,208.32,206.87,206.87,"1992-03-11"
1802400.0,206.87,205.38,206.87,205.98,205.98,"1992-03-12"
1760000.0,205.99,205.99,206.81,206.76,206.76,"1992-03-13"
1512800.0,206.76,205.56,206.77,206.09,206.09,"1992-03-16"
1872400.0,206.11,206.11,207.23,207.22,207.22,"1992-03-17"
1908000.0,207.23,207.23,208.16,208.16,208.16,"1992-03-18"
1972400.0,208.15,207.96,208.47,208.47,208.47,"1992-03-19"
2461700.0,208.48,208.02,208.76,208.35,208.35,"1992-03-20"
1566200.0,208.37,207.57,208.42,207.77,207.77,"1992-03-23"
1915800.0,207.75,206.57,207.95,206.91,206.91,"1992-03-24"
